Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20089300767NUC4A,,Détail d'un escalier couvert menant au sous-sol d'une halle de transbordement construite entre 1864 et 1870. Gare de marchandises de Pantin,93.0,Pantin,,Gare-des-marchandises (place de la),,IVR11_20089300767NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c8916f0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c8916f0000000000000000_MEDIUM.jpg
IVR11_20089200027NUC4A,distillerie Clacquesin,"Vue extérieure de la cour. Bâtiments en briques bichromes (1902-1903) Architecte Jules Guillemin. La cheminée, le garage et le pavillon des gardiens.",92.0,Malakoff,,Maréchal-Leclerc (avenue du) 18,,IVR11_20089200027NUC4A.jpg,2008.0,,Le Clacquesin,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47f15efb0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47f15efb0000000000000000_MEDIUM.jpg
IVR11_20089100280NUC4A,,"Au premier plan, bâtiment cubique ou ""pavé"" situé entre l'avenue Henri-Barbusse et la place Alain-Fournier, et à droite bâtiment du même type situé au nord-est de la place. Grand ensemble de la Croix Blanche",91.0,Vigneux-sur-Seine,,avenue Henri-Barbusse avenue Henri-Charon La Croix Blanche,,IVR11_20089100280NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ecf80000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ecf80000000000000000_MEDIUM.jpg
IVR11_20089100290NUC4A,,Vue de deux immeubles de part et d'autre de la rue des Edelweiss. Grand ensemble la Prairie de l'Oly,91.0,Vigneux-sur-Seine,,rue Pierre-Brossolette rue des Peupliers,,IVR11_20089100290NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ed020000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ed020000000000000000_MEDIUM.jpg
IVR11_20089100551NUC2A,Société nautique de la Haute Seine,"Fête nautique devant la base. Photographie, s. d. (Société nautique de la Haute Seine, Draveil)",91.0,Draveil,bords de Seine,Libert (avenue) 49,fête;établissement nautique;activité de loisirs,IVR11_20089100551NUC2A.jpg,2008.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ee070000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4818ee070000000000000000_MEDIUM.jpg
IVR11_20087800021NUCA,maison de vigneron,"Plan du nouveau domaine d'Andrésy appartenant au chapitre (1702). Vue cavalière des deux maisons, 18 et 20 rue Carnot en 1702. Dessin plume aquarellé. (AN, N I Seine-et-Oise 52).",78.0,Maurecourt,,Carnot (rue) 18,,IVR11_20087800021NUCA.jpg,2008.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/489235f50000000000000001_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/489235f50000000000000001_MEDIUM.jpg
IVR11_20087800618NUC2A,ville,"Les membres de la commission des antiquités et des arts, lors de leur excursion à Andrésy, le 6 août 1890. Photographie. (AD Yvelines, 2F 108/25).",78.0,Andrésy,,,site archéologique;cimetière,IVR11_20087800618NUC2A.jpg,2008.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4892384a0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4892384a0000000000000000_MEDIUM.jpg
IVR11_20087700331NUC2A,groupe sculpté : Vierge de l'Assomption et deux anges musiciens,L'ange de droite : vue d'ensemble.,77.0,Provins,,,,IVR11_20087700331NUC2A.jpg,2008.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb15ab0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb15ab0000000000000000_MEDIUM.jpg
IVR11_20087700854NUC4A,Idéal Standard,,77.0,Dammarie-les-Lys,,,,IVR11_20087700854NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17b60000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17b60000000000000000_MEDIUM.jpg
IVR11_20087700888NUC4A,Idéal Standard,,77.0,Dammarie-les-Lys,,,,IVR11_20087700888NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17d80000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/48bb17d80000000000000000_MEDIUM.jpg
